period_type;period_id;period_start;period_end;records_count;duration_minutes;max_gap_minutes;total_origin_zero;home_consumption_kWh;ev_consumption_kWh;total_consumption_kWh;inverter_output_kWh;pv_production_kWh;import_kWh;export_kWh;battery_charge_kWh;battery_discharge_kWh;pv_counter_start_kWh;pv_counter_end_kWh;pv_counter_delta_kWh;inverter_output_counter_start_kWh;inverter_output_counter_end_kWh;inverter_output_counter_delta_kWh;import_counter_start_kWh;import_counter_end_kWh;import_counter_delta_kWh;export_counter_start_kWh;export_counter_end_kWh;export_counter_delta_kWh;battery_charge_counter_start_kWh;battery_charge_counter_end_kWh;battery_charge_counter_delta_kWh;battery_discharge_counter_start_kWh;battery_discharge_counter_end_kWh;battery_discharge_counter_delta_kWh;ev_counter_start_kWh;ev_counter_end_kWh;ev_counter_delta_kWh;soc_start_pct;soc_end_pct;soc_delta_pct;battery_capacity_kWh;battery_energy_change_kWh;battery_net_release_kWh;battery_net_storage_kWh;system_energy_available_kWh;system_energy_accounted_kWh;system_losses_kWh;system_losses_pct;system_balance_efficiency_pct;system_losses_estimated_yn;system_losses_basis;battery_efficiency_pct;quality_flag
weekly;2026-W20;2026-05-11 14:55:00;2026-05-17 23:50:00;1539;9175.000;1260.000;False;52.500;43.500;96.000;79.800;107.000;36.800;20.600;56.700;54.000;1678.800;1785.800;107.000;1662.200;1742.000;79.800;3391.100;3427.900;36.800;441.300;461.900;20.600;1514.000;1570.700;56.700;1255.000;1309.000;54.000;1617.000;1660.500;43.500;38.000;85.000;47.000;10.600;4.982;0.000;4.982;143.800;121.582;22.218;15.451;84.549;n;period_boundary_counters_and_soc;95.238;period_has_gaps
weekly;2026-W21;2026-05-18 00:00:00;2026-05-24 23:55:00;1351;10075.000;3310.000;False;57.400;67.900;125.300;130.300;162.000;61.000;66.000;63.300;68.900;1785.800;1947.800;162.000;1742.000;1872.300;130.300;3427.900;3488.900;61.000;461.900;527.900;66.000;1570.700;1634.000;63.300;1309.000;1377.900;68.900;1660.500;1728.400;67.900;85.000;59.000;-26.000;10.600;-2.756;2.756;0.000;225.756;191.300;34.456;15.262;84.738;n;period_boundary_counters_and_soc;108.847;period_has_gaps,storage_efficiency_gt_100_check_counters
weekly;2026-W22;2026-05-25 00:00:00;2026-05-31 23:45:00;1996;10065.000;95.000;False;43.500;43.400;86.900;160.200;194.200;24.900;98.200;74.900;86.300;1947.800;2142.000;194.200;1872.300;2032.500;160.200;3488.900;3513.800;24.900;527.900;626.100;98.200;1634.000;1708.900;74.900;1377.900;1464.200;86.300;1728.400;1771.800;43.400;59.000;19.000;-40.000;10.600;-4.240;4.240;0.000;223.340;185.100;38.240;17.122;82.878;n;period_boundary_counters_and_soc;115.220;period_has_gaps,storage_efficiency_gt_100_check_counters
weekly;2026-W23;2026-06-01 00:00:00;2026-06-07 23:50:00;1931;10070.000;385.000;False;46.300;64.900;111.200;125.400;163.900;56.400;70.600;73.300;72.600;2142.000;2305.900;163.900;2032.500;2157.900;125.400;3513.800;3570.200;56.400;626.100;696.700;70.600;1708.900;1782.200;73.300;1464.300;1536.900;72.600;1771.800;1836.700;64.900;18.000;54.000;36.000;10.600;3.816;0.000;3.816;220.300;185.616;34.684;15.744;84.256;n;period_boundary_counters_and_soc;99.045;period_has_gaps
weekly;2026-W24;2026-06-08 00:00:00;2026-06-14 23:55:00;1989;10075.000;110.000;False;71.100;43.800;114.900;139.200;162.900;38.200;62.500;66.300;72.100;2305.900;2468.800;162.900;2157.900;2297.100;139.200;3570.200;3608.400;38.200;696.700;759.200;62.500;1782.200;1848.500;66.300;1536.900;1609.000;72.100;1836.700;1880.500;43.800;54.000;32.000;-22.000;10.600;-2.332;2.332;0.000;203.432;177.400;26.032;12.796;87.204;n;period_boundary_counters_and_soc;108.748;period_has_gaps,storage_efficiency_gt_100_check_counters
weekly;2026-W25;2026-06-15 00:00:00;2026-06-21 23:55:00;2000;10075.000;45.000;False;38.700;49.900;88.600;145.100;186.400;29.600;86.100;73.200;76.800;2468.800;2655.200;186.400;2297.100;2442.200;145.100;3608.400;3638.000;29.600;759.200;845.300;86.100;1848.500;1921.700;73.200;1609.100;1685.900;76.800;1880.500;1930.400;49.900;32.000;44.000;12.000;10.600;1.272;0.000;1.272;216.000;175.972;40.028;18.531;81.469;n;period_boundary_counters_and_soc;104.918;period_has_gaps,storage_efficiency_gt_100_check_counters
weekly;2026-W26;2026-06-22 00:00:00;2026-06-28 23:55:00;1776;10075.000;905.000;False;64.000;48.400;112.400;177.600;210.900;21.200;86.400;75.500;83.500;2655.200;2866.100;210.900;2442.200;2619.800;177.600;3638.000;3659.200;21.200;845.300;931.700;86.400;1921.700;1997.200;75.500;1686.000;1769.500;83.500;1930.400;1978.800;48.400;44.000;33.000;-11.000;10.600;-1.166;1.166;0.000;233.266;198.800;34.466;14.775;85.225;n;period_boundary_counters_and_soc;110.596;period_has_gaps,storage_efficiency_gt_100_check_counters
weekly;2026-W27;2026-06-29 00:00:00;2026-07-05 23:55:00;1952;10075.000;190.000;False;56.900;37.000;93.900;156.200;185.800;28.000;90.300;69.500;79.300;2866.100;3051.900;185.800;2619.900;2776.100;156.200;3659.200;3687.200;28.000;931.700;1022.000;90.300;1997.200;2066.700;69.500;1769.600;1848.900;79.300;1978.800;2015.800;37.000;32.000;16.000;-16.000;10.600;-1.696;1.696;0.000;215.496;184.200;31.296;14.523;85.477;n;period_boundary_counters_and_soc;114.101;period_has_gaps,storage_efficiency_gt_100_check_counters
weekly;2026-W28;2026-07-06 00:00:00;2026-07-12 17:20:00;1934;9680.000;10.000;False;38.000;21.700;59.700;111.700;147.400;14.100;66.100;70.700;73.300;3051.900;3199.300;147.400;2776.100;2887.800;111.700;3687.200;3701.300;14.100;1022.000;1088.100;66.100;2066.700;2137.400;70.700;1849.000;1922.300;73.300;2015.800;2037.500;21.700;16.000;26.000;10.000;10.600;1.060;0.000;1.060;161.500;126.860;34.640;21.449;78.551;n;period_boundary_counters_and_soc;103.678;storage_efficiency_gt_100_check_counters
