hour;reference_r;2026-07-06_r;2026-07-06_dev_pct;2026-07-06_set;2026-07-06_include_yn;2026-07-06_reason;2026-07-07_r;2026-07-07_dev_pct;2026-07-07_set;2026-07-07_include_yn;2026-07-07_reason;2026-07-08_r;2026-07-08_dev_pct;2026-07-08_set;2026-07-08_include_yn;2026-07-08_reason;2026-07-09_r;2026-07-09_dev_pct;2026-07-09_set;2026-07-09_include_yn;2026-07-09_reason;2026-07-10_r;2026-07-10_dev_pct;2026-07-10_set;2026-07-10_include_yn;2026-07-10_reason;2026-07-11_r;2026-07-11_dev_pct;2026-07-11_set;2026-07-11_include_yn;2026-07-11_reason;2026-07-12_r;2026-07-12_dev_pct;2026-07-12_set;2026-07-12_include_yn;2026-07-12_reason
07;1.0000;;;;;;;;;;;2.8571;185.7;red;n;above_reference_plus_20_pct;;;;;;;;;;;;;;;;;;;;
08;1.8000;;;;;;;;;;;;;;;;2.3599;31.1;red;n;above_reference_plus_20_pct;;;;;;;;;;;;;;;
09;2.7000;;;;;;;;;;;3.7037;37.2;red;n;above_reference_plus_20_pct;;;;;;;;;;;;;;;;;;;;
10;3.7000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;4.5000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;5.2000;;;;;;;;;;;;;;;;2.3866;-54.1;red;n;below_reference_minus_10_pct;;;;;;;;;;;;;;;
13;5.9000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;6.5000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;6.9000;;;;;;;;;;;;;;;;4.4660;-35.3;red;n;below_reference_minus_10_pct;;;;;;;;;;;;;;;
16;7.0000;;;;;;;;;;;;;;;;2.3132;-67.0;red;n;below_reference_minus_10_pct;;;;;;4.9223;-29.7;red;n;below_reference_minus_10_pct;;;;;
17;6.7000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;5.8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;4.4000;;;;;;;;;;;12.9944;195.3;red;n;above_reference_plus_20_pct;;;;;;;;;;;8.5526;94.4;red;n;above_reference_plus_20_pct;;;;;
20;2.6000;;;;;;;;;;;1.6807;-35.4;red;n;below_reference_minus_10_pct;;;;;;1.8519;-28.8;red;n;below_reference_minus_10_pct;;;;;;;;;;
