date;start;end;energy_PLN_kWh;distribution_PLN_kWh;total_PLN_kWh;label;label_code
2025-11-11;00:00;00:15;0,533;0,110;0,643;normal;b
2025-11-11;00:15;00:30;0,533;0,110;0,643;normal;b
2025-11-11;00:30;00:45;0,533;0,110;0,643;normal;b
2025-11-11;00:45;01:00;0,544;0,110;0,654;normal;b
2025-11-11;01:00;01:15;0,540;0,110;0,650;normal;b
2025-11-11;01:15;01:30;0,546;0,110;0,656;normal;b
2025-11-11;01:30;01:45;0,553;0,110;0,663;normal;b
2025-11-11;01:45;02:00;0,547;0,110;0,657;normal;b
2025-11-11;02:00;02:15;0,533;0,110;0,643;normal;b
2025-11-11;02:15;02:30;0,533;0,110;0,643;normal;b
2025-11-11;02:30;02:45;0,533;0,110;0,643;normal;b
2025-11-11;02:45;03:00;0,533;0,110;0,643;normal;b
2025-11-11;03:00;03:15;0,531;0,110;0,641;normal;b
2025-11-11;03:15;03:30;0,531;0,110;0,641;normal;b
2025-11-11;03:30;03:45;0,531;0,110;0,641;normal;b
2025-11-11;03:45;04:00;0,531;0,110;0,641;normal;b
2025-11-11;04:00;04:15;0,530;0,110;0,640;normal;b
2025-11-11;04:15;04:30;0,530;0,110;0,640;normal;b
2025-11-11;04:30;04:45;0,530;0,110;0,640;normal;b
2025-11-11;04:45;05:00;0,530;0,110;0,640;normal;b
2025-11-11;05:00;05:15;0,534;0,110;0,644;normal;b
2025-11-11;05:15;05:30;0,534;0,110;0,644;normal;b
2025-11-11;05:30;05:45;0,541;0,110;0,651;normal;b
2025-11-11;05:45;06:00;0,538;0,110;0,648;normal;b
2025-11-11;06:00;06:15;0,544;0,110;0,654;normal;b
2025-11-11;06:15;06:30;0,544;0,110;0,654;normal;b
2025-11-11;06:30;06:45;0,560;0,110;0,670;normal;b
2025-11-11;06:45;07:00;0,560;0,110;0,670;normal;b
2025-11-11;07:00;07:15;0,571;0,110;0,681;normal;b
2025-11-11;07:15;07:30;0,587;0,110;0,697;normal;b
2025-11-11;07:30;07:45;0,590;0,110;0,700;normal;b
2025-11-11;07:45;08:00;0,598;0,110;0,708;normal;b
2025-11-11;08:00;08:15;0,608;0,110;0,718;normal;b
2025-11-11;08:15;08:30;0,605;0,110;0,715;normal;b
2025-11-11;08:30;08:45;0,604;0,110;0,714;normal;b
2025-11-11;08:45;09:00;0,592;0,110;0,702;normal;b
2025-11-11;09:00;09:15;0,604;0,110;0,714;normal;b
2025-11-11;09:15;09:30;0,578;0,110;0,688;normal;b
2025-11-11;09:30;09:45;0,572;0,110;0,682;normal;b
2025-11-11;09:45;10:00;0,546;0,110;0,656;normal;b
2025-11-11;10:00;10:15;0,574;0,110;0,684;normal;b
2025-11-11;10:15;10:30;0,560;0,110;0,670;normal;b
2025-11-11;10:30;10:45;0,561;0,110;0,671;normal;b
2025-11-11;10:45;11:00;0,571;0,110;0,681;normal;b
2025-11-11;11:00;11:15;0,571;0,110;0,681;normal;b
2025-11-11;11:15;11:30;0,572;0,110;0,682;normal;b
2025-11-11;11:30;11:45;0,582;0,110;0,692;normal;b
2025-11-11;11:45;12:00;0,587;0,110;0,697;normal;b
2025-11-11;12:00;12:15;0,584;0,110;0,694;normal;b
2025-11-11;12:15;12:30;0,584;0,110;0,694;normal;b
2025-11-11;12:30;12:45;0,583;0,110;0,693;normal;b
2025-11-11;12:45;13:00;0,583;0,110;0,693;normal;b
2025-11-11;13:00;13:15;0,601;0,110;0,711;normal;b
2025-11-11;13:15;13:30;0,589;0,110;0,699;normal;b
2025-11-11;13:30;13:45;0,589;0,110;0,699;normal;b
2025-11-11;13:45;14:00;0,581;0,110;0,691;normal;b
2025-11-11;14:00;14:15;0,584;0,110;0,694;normal;b
2025-11-11;14:15;14:30;0,582;0,110;0,692;normal;b
2025-11-11;14:30;14:45;0,605;0,110;0,715;normal;b
2025-11-11;14:45;15:00;0,638;0,110;0,748;normal;b
2025-11-11;15:00;15:15;0,611;0,110;0,721;normal;b
2025-11-11;15:15;15:30;0,652;0,110;0,762;normal;b
2025-11-11;15:30;15:45;0,689;0,110;0,799;normal;b
2025-11-11;15:45;16:00;0,708;0,110;0,818;normal;b
2025-11-11;16:00;16:15;0,706;0,110;0,816;normal;b
2025-11-11;16:15;16:30;0,731;0,110;0,841;normal;b
2025-11-11;16:30;16:45;0,744;0,110;0,854;normal;b
2025-11-11;16:45;17:00;0,756;0,110;0,866;normal;b
2025-11-11;17:00;17:15;0,734;0,110;0,844;normal;b
2025-11-11;17:15;17:30;0,737;0,110;0,847;normal;b
2025-11-11;17:30;17:45;0,726;0,110;0,836;normal;b
2025-11-11;17:45;18:00;0,708;0,110;0,818;normal;b
2025-11-11;18:00;18:15;0,695;0,110;0,805;normal;b
2025-11-11;18:15;18:30;0,670;0,110;0,780;normal;b
2025-11-11;18:30;18:45;0,658;0,110;0,768;normal;b
2025-11-11;18:45;19:00;0,653;0,110;0,763;normal;b
2025-11-11;19:00;19:15;0,638;0,110;0,748;normal;b
2025-11-11;19:15;19:30;0,638;0,110;0,748;normal;b
2025-11-11;19:30;19:45;0,630;0,110;0,740;normal;b
2025-11-11;19:45;20:00;0,629;0,110;0,739;normal;b
2025-11-11;20:00;20:15;0,626;0,110;0,736;normal;b
2025-11-11;20:15;20:30;0,621;0,110;0,731;normal;b
2025-11-11;20:30;20:45;0,605;0,110;0,715;normal;b
2025-11-11;20:45;21:00;0,582;0,110;0,692;normal;b
2025-11-11;21:00;21:15;0,590;0,110;0,700;normal;b
2025-11-11;21:15;21:30;0,582;0,110;0,692;normal;b
2025-11-11;21:30;21:45;0,562;0,110;0,672;normal;b
2025-11-11;21:45;22:00;0,540;0,110;0,650;normal;b
2025-11-11;22:00;22:15;0,592;0,110;0,702;normal;b
2025-11-11;22:15;22:30;0,547;0,110;0,657;normal;b
2025-11-11;22:30;22:45;0,523;0,110;0,633;normal;b
2025-11-11;22:45;23:00;0,504;0,110;0,614;normal;b
2025-11-11;23:00;23:15;0,523;0,110;0,633;normal;b
2025-11-11;23:15;23:30;0,509;0,110;0,619;normal;b
2025-11-11;23:30;23:45;0,519;0,110;0,629;normal;b
2025-11-11;23:45;00:00;0,520;0,110;0,630;normal;b
