hour;reference_r;2026-05-25_r;2026-05-25_dev_pct;2026-05-25_set;2026-05-25_include_yn;2026-05-25_reason;2026-05-26_r;2026-05-26_dev_pct;2026-05-26_set;2026-05-26_include_yn;2026-05-26_reason;2026-05-27_r;2026-05-27_dev_pct;2026-05-27_set;2026-05-27_include_yn;2026-05-27_reason;2026-05-28_r;2026-05-28_dev_pct;2026-05-28_set;2026-05-28_include_yn;2026-05-28_reason;2026-05-29_r;2026-05-29_dev_pct;2026-05-29_set;2026-05-29_include_yn;2026-05-29_reason;2026-05-30_r;2026-05-30_dev_pct;2026-05-30_set;2026-05-30_include_yn;2026-05-30_reason;2026-05-31_r;2026-05-31_dev_pct;2026-05-31_set;2026-05-31_include_yn;2026-05-31_reason
07;0.2000;1.5789;689.4;red;n;above_reference_plus_20_pct;2.1390;969.5;red;n;above_reference_plus_20_pct;1.5625;681.2;red;n;above_reference_plus_20_pct;1.4706;635.3;red;n;above_reference_plus_20_pct;;;;;;;;;;;;;;;
08;0.7000;1.4493;107.0;red;n;above_reference_plus_20_pct;0.8798;25.7;red;n;above_reference_plus_20_pct;1.4451;106.4;red;n;above_reference_plus_20_pct;1.1019;57.4;red;n;above_reference_plus_20_pct;;;;;;;;;;;;;;;
09;1.5000;;;;;;1.4113;-5.9;green;y;;1.5936;6.2;green;y;;1.5267;1.8;green;y;;;;;;;;;;;;;;;;
10;2.8000;;;;;;2.4615;-12.1;red;n;below_reference_minus_10_pct;2.4922;-11.0;red;n;below_reference_minus_10_pct;2.5335;-9.5;green;y;;;;;;;;;;;;;;;;
11;4.1000;;;;;;3.5202;-14.1;red;n;below_reference_minus_10_pct;2.6525;-35.3;red;n;below_reference_minus_10_pct;3.4221;-16.5;red;n;below_reference_minus_10_pct;;;;;;;;;;;;;;;
12;5.2000;4.4205;-15.0;red;n;below_reference_minus_10_pct;4.3891;-15.6;red;n;below_reference_minus_10_pct;;;;;;3.2110;-38.3;red;n;below_reference_minus_10_pct;;;;;;;;;;;;;;;
13;6.0000;;;;;;5.0575;-15.7;red;n;below_reference_minus_10_pct;;;;;;2.6696;-55.5;red;n;below_reference_minus_10_pct;5.2809;-12.0;red;n;below_reference_minus_10_pct;;;;;;;;;;
14;6.6000;;;;;;5.9859;-9.3;green;y;;;;;;;;;;;;;;;;;;;;;;;;;;
15;6.9000;6.1776;-10.5;red;n;below_reference_minus_10_pct;6.3776;-7.6;green;y;;;;;;;;;;;;;;;;;;;;;;;;;;
16;6.7000;6.1103;-8.8;green;y;;5.9084;-11.8;red;n;below_reference_minus_10_pct;;;;;;;;;;;;;;;;;;;;;;;;;
17;6.0000;;;;;;5.7301;-4.5;green;y;;;;;;;;;;;;;;;;;;;;;;;;;;
18;5.0000;;;;;;;;;;;8.6486;73.0;red;n;above_reference_plus_20_pct;;;;;;;;;;;;;;;;;;;;
19;3.6000;;;;;;;;;;;7.2340;100.9;red;n;above_reference_plus_20_pct;;;;;;;;;;;;;;;;;;;;
20;2.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
